WeiboID,正文,日期,点赞数,评论数,转发数,话题,Time
宝玉xp,转自 𝕀𝕀𝕀𝕟𝕠𝕜𝕚🎓（twitter.com/IIInoki）：这篇 post 从 LLM 中类 GPT 模型的参数规模、复杂度、以及设备的浮点数算力和带宽角度，分析了 LLaMa.cpp 是如何让 LLaMa 在 Pixel 5、MBP 甚至树莓派 4 上运行成为可能的：网页链接推文：twitter.com/IIInoki/status/1691727794751897761,2023-08-17,18,3,21,,2023-08-17 07:37:37
宝玉xp,吴恩达老师和Cohere合作的新课：《大语言模型与语义搜索》主要内容：(i) 使用嵌入技术按照相关性检索文档；(ii) 借助LLM根据问题相关性对结果排序最后会有一个完整的案例将学习到的内容串起来，构建一个搜索系统检索维基百科文章。课程地址：网页链接 宝玉xp的微博视频 ,2023-08-17,40,0,37,,2023-08-17 05:56:16
宝玉xp,经常看台湾的朋友说XD，一直不知道啥意思，今天才知道原来是表情符号😆 ,2023-08-17,22,8,5,,2023-08-17 05:07:45
宝玉xp,比尔·盖茨和可汗学院创始人萨尔曼·可汗在盖茨新的播客节目《Unconfuse Me | 为我解惑》的完整对话视频。主要话题是围绕人工智能和教育，以及如何利用技术去更好的帮助老师和学生，推动教育的发展。一些独立片段：- 人工智能、教育和工作方面会发生什么？ 网页链接- 有哪些教师真正触动了你，影响了你呢？网页链接-如果你有一个魔法愿望，可以在不学习的情况下精通一门学科，你会选择哪一个？ 网页链接- 人工智能和可汗学院如果应用人工智能 网页链接- 关于可汗学院 网页链接- 老师在教育中的重要性，以及如何利用技术更好的帮助老师们 网页链接 宝玉xp的微博视频,2023-08-17,55,0,48,,2023-08-17 04:00:17
宝玉xp,转自歸藏（twitter.com/op7418）推文：Open AI全资收购了Global Illumination，这个团队参与过Instagram 和 Facebook早期产品的开发，同时他们最近主要的工作内容是Biomes一款基于网络的开源MMORPG游戏类似于我的世界但是是可以通过浏览器运行的。从做过的事情来看他们的产品能力是Open AI非常需要的，但是结合前几天的斯坦福AI小镇来看这种高自由都运行成本低的沙盒游戏结合AI会有无限可能，所以OpenAI可能是看重了他们成员的产品能力，也可能纯粹的看上了这个高自由度的游戏。下面是他们这个游戏的预告片。twitter.com/op7418/status/1691865962499514505OpenAI官方链接：网页链接 宝玉xp的微博视频,2023-08-17,13,1,8,,2023-08-17 03:14:43
宝玉xp,OpenAI官方openai的npm包更新了- 聊天和完成的流媒体回复- 精心制作的TypeScript类型-支持ESM、Vercel Edge功能、Cloudflare worker和Deno- 更好的文件上传API，用于Whisper、微调文件和DALL·E图像-通过自动重试和错误类改进了错误处理-通过TCP连接重用提高性能- 更简单的初始化逻辑 ,2023-08-17,21,2,11,,2023-08-17 03:12:25
宝玉xp,比尔·盖茨和可汗学院创始人萨尔曼·可汗最近在播客《Unconfuse Me》的一次对话节选。这段对话主要聊了老师在教育中的重要性，以及如何利用技术更好的帮助老师们。教师这个职业非常重要，就像乐队的指挥，指挥确保乐队协同合作，确保一切都协调一致，将混乱变成有序。但教师这个职业又很难，不完全是薪酬的问题，是一个很孤独的职业，在教室里，孩子们并不总会专心听讲，不听从老师的指令，这非常耗费精力。另一方面，当引入新技术到课堂的时候，如果处理的不好，老师们会觉得是在贬低他们的创造力或者限制他们的自由，是在暗示他们做不到做不好。所以技术上，首先要确保每个人都明白教师是其中的关键角色，然后能借助AI模型，为每个学生配一个AI导师，为每个老师配若干AI助教，AI助教可以帮助老师组织教学活动。未来课堂，理想的教育方式是：大部分时间让学生自己去主导学习，而老师是这一切的策划者，就像乐队指挥一样，指导整个过程。www.youtube.com/watch?v=XNOD4i_w2GA&list=PLxf-CDjxvNVofjauP3Lue0fOKWSWHQu82&index=6 宝玉xp的微博视频,2023-08-17,27,0,13,,2023-08-17 01:04:20
宝玉xp,ChromeDevTools现在可以覆盖 Fetch/XHR 请求的内容！非常适合模拟 API，无需等待后台更改！更多内容请访问 Chrome 浏览器 117：网页链接 宝玉xp的微博视频 ,2023-08-16,67,4,45,,2023-08-16 23:36:38
宝玉xp,比尔·盖茨和可汗学院创始人萨尔曼·可汗最近在播客《Unconfuse Me》的一次对话节选。这段对话盖茨和可汗主要聊了可汗学院。可汗学院现在在全世界有1.4亿用户，他们的使命是让所有人享有免费的世界一流教育。可汗大学上的是商学院，毕业后在波士顿的对冲基金担任分析师，后来辅导12岁的表妹，让她从差生变成了优等生，接着又辅导她表妹的堂兄，由于效果好又免费，很快就在家族传开了，于是不知不觉教了十几个堂兄弟姐妹。最后就干脆把视频传到了网上。可汗学院在2009年就有10W用户了，可汗决定全职投入，将它建立为一个非营利的、免费的、任何人任何地方都可以访问的世界级在线教育学院。非常了不起！可汗学院的一大愿景就是无障碍访问，他们制作视频，任何人在任何地点都可以访问到。并且用户可以按照自己的节奏学习。比如某个知识点你只掌握了70、80%，那么可以不着急进入下一个知识点，直到完全掌握为止。可汗特别提到学习的时候，如果你基础打好，后面就会很简单，否则不管你多聪明多努力，都会很难。可汗提到的另一点就是学生在学习中的参与度问题，如果学生每周能参与30~60分钟，这已经是相当低的参与度了，但是仍然能比预期的成长增长20、30%。而可汗学院则是有效的提升学生参与度的工具，不仅对于那些10%-15%有上进心的拔尖的学生，对于那些基础差的学生同样有效，能吸引他们参与，打好基础。10-20年前，在美国大部分学区电脑很少，而现在基本上每个学区都是人手一部电脑了，这样可汗学院就可以进一步在各个学区普及。另外可汗学院还有一个重要的理念就是：“让教师获得即时反馈，绝不拖到最后”，这极大的改变了传统的教育模式，只有在单元结束后，借助单元测验才能得到反馈，而现在学生可以实时了解自己的学习情况，老师也可以通过可汗学院的教师账号，了解每个学生的学习进度，学习结果，从而给学生针对性的反馈。顺便说一下，我家孩子从小学就开始用可汗学院，受益良多，教学视频质量相当高，如可汗所言，孩子在学习过程中可以收到及时的反馈，可以清楚的知道知识点是不是掌握了，这样可以打好坚实的基础。感谢可汗为教育做出的努力和改变，值得尊敬的人物！www.youtube.com/watch?v=HserP2tC6Ag&list=PLxf-CDjxvNVofjauP3Lue0fOKWSWHQu82&index=5 宝玉xp的微博视频,2023-08-16,98,7,111,,2023-08-16 14:38:57
宝玉xp,推荐阅读《大模型赛道的技术和应用分析》网页链接 ,2023-08-16,51,3,61,,2023-08-16 10:44:03
